assets,AAPL,MSFT,GOOGL,AMZN,TSLA,JPM,BAC,V,PG,KO,WMT,PEP,CVX,XOM,SLB,BA,UPS,CAT,MMM,JNJ,PFE,MRNA,DIS,NFLX,T,NVDA,ORCL,INTC,LMT,GS,COST,BTC-USD,ETH-USD,LTC-USD,XRP-USD
AAPL,1,0.824584948,0.797566999,0.698285242,0.63577793,0.552691615,0.568048263,0.701111389,0.463458604,0.523902534,0.340141022,0.55312693,0.293039683,0.272432369,0.222719111,0.536721488,0.572102792,0.391955241,0.497074796,0.368252534,0.35313559,0.462172617,0.651788731,0.470308125,0.394413134,0.76220586,0.616423909,0.705568052,0.235835117,0.621132291,0.635887609,0.495234561,0.484444454,0.445779954,0.405725802
MSFT,0.824584948,1,0.850774223,0.74324115,0.558860434,0.53474365,0.565567387,0.664455822,0.439148778,0.455073218,0.31426831,0.488605326,0.258016465,0.220218013,0.180957001,0.487407377,0.562573863,0.395578977,0.427491911,0.320549039,0.366728351,0.487846357,0.637815332,0.454068583,0.293456883,0.786965939,0.641922597,0.663835409,0.18684478,0.625238383,0.609208701,0.531933822,0.512525258,0.475015085,0.402379276
GOOGL,0.797566999,0.850774223,1,0.724108116,0.556017936,0.522494277,0.550374085,0.59880642,0.344592229,0.374183553,0.300017911,0.41615497,0.263795012,0.215501767,0.164177222,0.532480759,0.497528468,0.392257431,0.4076736,0.27305442,0.280222308,0.479271305,0.619286421,0.479178308,0.290521468,0.769350375,0.57906468,0.666571806,0.148734912,0.609376738,0.563499839,0.471288584,0.449868026,0.407595333,0.344580459
AMZN,0.698285242,0.74324115,0.724108116,1,0.585835487,0.506718371,0.552123828,0.557160267,0.239822692,0.362594298,0.303385448,0.36949659,0.304032869,0.245034568,0.204349233,0.499939227,0.569885185,0.365242583,0.367252265,0.229019886,0.261230351,0.432478677,0.668506029,0.553389372,0.274432618,0.710493469,0.534650755,0.515909667,0.117388084,0.607390465,0.565081472,0.52602322,0.50543699,0.441197518,0.403515893
TSLA,0.63577793,0.558860434,0.556017936,0.585835487,1,0.371234661,0.399006328,0.434911315,0.159744577,0.230981686,0.17281931,0.231670181,0.1675621,0.147034665,0.124824136,0.449223314,0.401462613,0.309121235,0.285028062,0.101394876,0.156446134,0.429928711,0.51059293,0.489345899,0.092916699,0.679020597,0.420695767,0.495872852,0.11516639,0.438200173,0.464784183,0.501948762,0.494545359,0.416341611,0.392071972
JPM,0.552691615,0.53474365,0.522494277,0.506718371,0.371234661,1,0.892674147,0.587740011,0.386900227,0.463889891,0.221004455,0.43885054,0.302889877,0.275309301,0.294869581,0.504311634,0.56258331,0.555380184,0.540616251,0.348721409,0.362576867,0.390484008,0.560214212,0.349327657,0.37901749,0.532180984,0.530182416,0.520324088,0.141188601,0.827430464,0.426374534,0.372741067,0.362392931,0.317441332,0.291980224
BAC,0.568048263,0.565567387,0.550374085,0.552123828,0.399006328,0.892674147,1,0.593675348,0.360401302,0.446821482,0.225287936,0.417663712,0.363994228,0.302713872,0.32532763,0.541525438,0.559154624,0.548112924,0.514107645,0.31274968,0.32017466,0.378829392,0.584079593,0.351599087,0.357495364,0.552049781,0.508160896,0.507153784,0.195340696,0.817759085,0.418147582,0.393030469,0.361314059,0.347761546,0.29157206
V,0.701111389,0.664455822,0.59880642,0.557160267,0.434911315,0.587740011,0.593675348,1,0.428366624,0.502441777,0.213811269,0.47930784,0.214926331,0.234841359,0.2034241,0.451703961,0.561284549,0.40710669,0.441192803,0.315230481,0.410622787,0.424523423,0.59929325,0.375191348,0.374328911,0.618870671,0.576565403,0.508779837,0.149274778,0.611644065,0.483918327,0.459155862,0.466003173,0.399305401,0.359044518
PG,0.463458604,0.439148778,0.344592229,0.239822692,0.159744577,0.386900227,0.360401302,0.428366624,1,0.75015691,0.413966492,0.736908319,0.003776532,0.027988693,0.043124251,0.227979301,0.34520083,0.140556856,0.422881507,0.586901694,0.425382676,0.15650278,0.309758103,0.148612958,0.361521258,0.289476857,0.361803855,0.419883777,0.280534977,0.3614801,0.536031126,0.207831404,0.209023387,0.223522552,0.174158228
KO,0.523902534,0.455073218,0.374183553,0.362594298,0.230981686,0.463889891,0.446821482,0.502441777,0.75015691,1,0.431070834,0.839245643,0.184759897,0.176265964,0.175991849,0.294776805,0.450015178,0.325221118,0.47827021,0.571879909,0.418561687,0.184355098,0.398121204,0.182218798,0.435155314,0.335430319,0.373640011,0.398817484,0.367111186,0.445300459,0.564645379,0.186732984,0.204325785,0.187579435,0.202030476
