assets,AAPL,MSFT,GOOGL,AMZN,TSLA,JPM,BAC,V,PG,KO,WMT,PEP,CVX,XOM,SLB,BA,UPS,CAT,MMM,JNJ,PFE,MRNA,DIS,NFLX,T,NVDA,ORCL,INTC,LMT,GS,COST,BTC-USD,ETH-USD,LTC-USD,XRP-USD
AAPL,1,0.769601869,0.663172291,0.670034595,0.476585705,0.413804911,0.448925301,0.594779929,0.541870786,0.461036783,0.434726194,0.597699418,0.353782516,0.383745089,0.335720566,0.431498054,0.490941166,0.389554203,0.420339296,0.500038962,0.37176956,0.059407232,0.449057612,0.513761798,0.43636694,0.72446699,0.53914039,0.524149292,0.470315172,0.514404218,0.587213294,0.344266298,0.343442396,0.317412127,0.185612256
MSFT,0.769601869,1,0.829950807,0.712689881,0.54139607,0.449201088,0.471421681,0.726297883,0.605584288,0.508473027,0.496858898,0.619549225,0.409259313,0.418987623,0.424636671,0.448980908,0.449203507,0.413988391,0.462614235,0.591403663,0.453244074,0.101030643,0.548409967,0.571627195,0.49635816,0.753144792,0.622999956,0.611360371,0.539376292,0.539939025,0.675927833,0.373444405,0.368278756,0.33475237,0.245923641
GOOGL,0.663172291,0.829950807,1,0.638061493,0.485105246,0.498542679,0.510032491,0.754310957,0.545456542,0.543169172,0.404899805,0.558633005,0.461305702,0.486680624,0.518185172,0.483510916,0.451557985,0.481797447,0.509262881,0.559638903,0.48503953,0.010287724,0.597579954,0.477149236,0.533523456,0.653789091,0.551231441,0.572202151,0.529987466,0.578669782,0.585158788,0.352478417,0.3418539,0.294460836,0.186524408
AMZN,0.670034595,0.712689881,0.638061493,1,0.438732387,0.172939683,0.220960105,0.374155509,0.444858621,0.229066151,0.420843198,0.424320433,0.10783684,0.182152881,0.196391846,0.204425993,0.382984948,0.187271406,0.221683605,0.339272685,0.26494042,0.047296351,0.327137234,0.641892835,0.268901378,0.6531235,0.491707299,0.445417244,0.304366274,0.293007769,0.568385866,0.297137333,0.281984209,0.263489097,0.144893953
TSLA,0.476585705,0.54139607,0.485105246,0.438732387,1,0.304810275,0.302447197,0.467706794,0.209769955,0.290522284,0.166821907,0.298339552,0.363090195,0.292634438,0.345722764,0.33869127,0.179601555,0.20138259,0.218384573,0.220703734,0.191896606,0.052366953,0.350601552,0.427774218,0.237014308,0.53647662,0.26090462,0.338507732,0.224318271,0.392408962,0.294732337,0.244344035,0.276890847,0.23766824,0.21227313
JPM,0.413804911,0.449201088,0.498542679,0.172939683,0.304810275,1,0.936896696,0.69636077,0.366446551,0.694508193,0.153226117,0.489345985,0.758765836,0.72852703,0.723606359,0.69523739,0.400822468,0.721180894,0.607455512,0.449491712,0.475343752,-0.055799521,0.679212501,0.078309592,0.702516964,0.306273948,0.520980036,0.433777235,0.576117683,0.857260102,0.269915817,0.258757333,0.240838014,0.21799383,0.202252592
BAC,0.448925301,0.471421681,0.510032491,0.220960105,0.302447197,0.936896696,1,0.696726169,0.428489122,0.673720259,0.208877977,0.543372956,0.712253732,0.757148951,0.719938912,0.648971724,0.440000267,0.751685632,0.685405159,0.481663473,0.473732674,-0.050153344,0.693722576,0.08419283,0.735991328,0.339126263,0.562548153,0.451445795,0.588111252,0.845493217,0.302863233,0.293235761,0.2680053,0.246086,0.22246808
V,0.594779929,0.726297883,0.754310957,0.374155509,0.467706794,0.69636077,0.696726169,1,0.526691015,0.67775298,0.31836735,0.576511389,0.681739724,0.668222926,0.668346655,0.622312434,0.441304223,0.620510816,0.675917697,0.620025473,0.527939256,-0.007406931,0.726888467,0.252244009,0.638226961,0.581510965,0.53961252,0.542966444,0.643368417,0.70290299,0.509038802,0.351918518,0.357270442,0.301708745,0.248608396
PG,0.541870786,0.605584288,0.545456542,0.444858621,0.209769955,0.366446551,0.428489122,0.526691015,1,0.618785328,0.669869441,0.775624633,0.269612476,0.364573416,0.298963605,0.303855701,0.560843807,0.465513943,0.549615307,0.761345113,0.587280823,0.17939114,0.403121591,0.326410218,0.635649527,0.464022808,0.62894985,0.445555392,0.68501803,0.418323809,0.705927322,0.31176142,0.305813729,0.281897403,0.21976366
KO,0.461036783,0.508473027,0.543169172,0.229066151,0.290522284,0.694508193,0.673720259,0.67775298,0.618785328,1,0.390653557,0.713490348,0.617472276,0.63020181,0.568453897,0.59555915,0.42139179,0.671123126,0.643986238,0.682624567,0.6074665,0.132890546,0.627981812,0.133526051,0.756185009,0.370265812,0.527018695,0.492304191,0.663704961,0.669427106,0.44590587,0.272760334,0.256336665,0.24012904,0.151486688
WMT,0.434726194,0.496858898,0.404899805,0.420843198,0.166821907,0.153226117,0.208877977,0.31836735,0.669869441,0.390653557,1,0.603191438,0.061939938,0.189644286,0.140141483,0.164453501,0.375279525,0.262805457,0.38287833,0.54715995,0.383793072,0.161951972,0.250161855,0.406792501,0.388283155,0.442281759,0.4871601,0.407768943,0.462835034,0.21522393,0.714581845,0.281456768,0.329033067,0.274127858,0.208616335
