assets,AAPL,AMZN,BA,BAC,BTC-USD,CAT,COST,CVX,DIS,ETH-USD,GOOGL,GS,INTC,JNJ,JPM,KO,LMT,LTC-USD,MMM,MRNA,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,SLB,T,TSLA,UPS,V,WMT,XOM,XRP-USD
AAPL,1.0,0.9217175140293835,-0.10343658084911152,0.12199583786071569,0.7791381990077282,0.8517668139600543,0.9063202007497181,-0.20047988902735167,0.629741089076271,0.9031139517320301,0.8633811177519362,0.5009021080319008,-0.5984377864461189,0.5887817198363929,0.15264475138859274,0.2578857138312966,0.04666875708370355,0.5160909661642925,0.7216742320481165,0.7605589838140694,0.9337252935966485,0.8645214335874822,0.9580419561607658,0.8525391030131418,0.6802138813334441,0.6068630145971361,0.921549080035382,-0.16348922701950147,-0.3463822281941244,0.9388357887158272,0.9544550239016846,0.7438285594118812,0.8792972866725299,-0.37518506959203823,0.5581737713805367
AMZN,0.9217175140293835,1.0,-0.37321689622014875,-0.1672932531703537,0.6228720357566928,0.6744838798995502,0.8098859072407203,-0.35779761115305253,0.3591747638400537,0.7857730799632844,0.7418486054069149,0.2604351175206441,-0.5626502532769956,0.5355770580060492,-0.15337693598691815,-0.04970687366412647,-0.07584341110363788,0.28099842094030847,0.5238386688930111,0.760630707334948,0.9640610083201053,0.9700580519886645,0.9566731225306866,0.781628161702494,0.5056126423731736,0.45910958768054083,0.8077444951676992,-0.41672072465806614,-0.5720027909394031,0.8577000657976606,0.8490507104455529,0.5829706722177713,0.8644457628141826,-0.5486881470045265,0.4054676079847232
BA,-0.10343658084911152,-0.37321689622014875,1.0,0.9308603245999603,0.08594748062528268,0.23531307601181323,-0.09082623759262995,0.8085862856069472,0.5847689133585242,-0.03636164022740055,0.2123627340404399,0.7227388588452447,0.4298935023703924,0.16653870802441484,0.9174685834125033,0.8384941955930051,0.6400178628771955,0.4442600004651173,0.41658964085257866,-0.25871372055441466,-0.18937003574543898,-0.41578434358517097,-0.2950622897574916,0.04313806401987757,0.43949128623467765,0.2550699011291653,0.030823411370025536,0.9547859806829062,0.9129635842530152,-0.13150477628054805,-0.09986019319609536,0.4268929499119641,-0.30377199477764283,0.8503054020477324,0.23916564543728736
BAC,0.12199583786071569,-0.1672932531703537,0.9308603245999603,1.0,0.29351851046033517,0.4464767804874029,0.11900581603798033,0.8067373858157647,0.7675836719354606,0.1821670072464112,0.42185823499122377,0.8625765689279274,0.30074246297776674,0.3795578358495141,0.9774034338596331,0.8834001202841847,0.6954637590460336,0.5798192169732458,0.6246101248712824,-0.07133636025686467,0.0153539478576656,-0.23624155687032533,-0.08447884589618375,0.27257743152570973,0.6040375173137337,0.484043818985496,0.24326875598918346,0.931529295884253,0.8197232979393866,0.07636506505674195,0.1272211065118881,0.6046646052060823,-0.07106931466564008,0.7988780008664984,0.3723887536737127
BTC-USD,0.7791381990077282,0.6228720357566928,0.08594748062528268,0.29351851046033517,1.0,0.8338580512642513,0.8244728592312143,0.007544485291898124,0.7811484402252177,0.940547756098338,0.8376025164323869,0.6277179209216501,-0.48771269159469105,0.5080380771570622,0.38878328344505997,0.4043473301912529,-0.06495721041437617,0.8599970672206322,0.6611104084542498,0.8140153833588986,0.6918343904269117,0.5991074375513398,0.7043863458913308,0.7377900949824961,0.7113894713942654,0.6562267019553248,0.6828344202884238,0.012223479038097616,-0.18292249132000107,0.8723005856190659,0.7280708744896549,0.6341363782776103,0.751904185628263,-0.17250032896150427,0.7355693428936861
CAT,0.8517668139600543,0.6744838798995502,0.23531307601181323,0.4464767804874029,0.8338580512642513,1.0,0.8910421958597337,0.058586001803875375,0.822273659348066,0.8562529633689064,0.8923932010731725,0.729255605987926,-0.45376985876961357,0.5488014005755157,0.5192320517533722,0.5671352247244364,0.19022584445498955,0.6576679495200783,0.8839670080742817,0.688997913417768,0.7389390654493245,0.6074411750877998,0.7895236542893841,0.8459110591807882,0.8000222130744163,0.7105765027168496,0.882547862534266,0.16597559491833877,-0.05248792353395761,0.8621044866010589,0.8808028811210673,0.7690613477989582,0.8046347874086957,-0.08691201865605469,0.6753898005172723
COST,0.9063202007497181,0.8098859072407203,-0.09082623759262995,0.11900581603798033,0.8244728592312143,0.8910421958597337,1.0,-0.25620157725654874,0.6066578529447018,0.910782831450727,0.8443013094765676,0.46682747557173954,-0.6152584711544727,0.5162271242444895,0.2115041596812361,0.34647246840586154,-0.023027208127510506,0.5780336915829821,0.6770552475577827,0.7747886234235013,0.8227018769866473,0.7663619713907517,0.9045500547283638,0.7975530209404715,0.7227055439656557,0.6389554502680101,0.9163618014379511,-0.1858569836800267,-0.32507117070557967,0.9344030461642807,0.924414637377153,0.634735648506839,0.9415225662067961,-0.4317439033839581,0.6650295784633189
CVX,-0.20047988902735167,-0.35779761115305253,0.8085862856069472,0.8067373858157647,0.007544485291898124,0.058586001803875375,-0.25620157725654874,1.0,0.4721238701886068,-0.13542333998750034,0.17764066048840024,0.6519786474857048,0.6192911001207679,0.36116258765342607,0.7439621908369911,0.5870109906126871,0.7017249981604755,0.3002091080587556,0.36317223465917037,-0.18871375980271238,-0.17468762149880637,-0.3718390465127651,-0.3679231763319691,-0.018215457887099752,0.37038388458505145,0.3781330922372175,-0.14965731903282234,0.8836340813358582,0.8159786746631812,-0.25502994356998704,-0.27733683444352114,0.4040909811318929,-0.3476163073591735,0.9435592423324026,0.1804576849565572
DIS,0.629741089076271,0.3591747638400537,0.5847689133585242,0.7675836719354606,0.7811484402252177,0.822273659348066,0.6066578529447018,0.4721238701886068,1.0,0.7079834761138271,0.7967084546076925,0.9230639886537293,-0.13446180555026235,0.6041356897489571,0.797710633308735,0.7612672248552466,0.3912708779818991,0.8225183133833353,0.8512089937611801,0.5002584347811748,0.49673019573868765,0.3013614354754372,0.453563088404405,0.6975068548525627,0.8067470704917907,0.7347773612515942,0.6234289356049979,0.5579102479774171,0.3550818714983488,0.6407830334881909,0.6001724130705368,0.8093393688480731,0.47205762171095966,0.35809501348743433,0.6663198648390196
ETH-USD,0.9031139517320301,0.7857730799632844,-0.03636164022740055,0.1821670072464112,0.940547756098338,0.8562529633689064,0.910782831450727,-0.13542333998750034,0.7079834761138271,1.0,0.8555199001282817,0.5363745476463735,-0.612236345863345,0.5370799977051454,0.25657194596124294,0.3393093500025474,-0.05516159996974023,0.7505461364795948,0.666170856496481,0.8439743169444464,0.8153022915618329,0.74335208312387,0.8533834718397935,0.7795403030481457,0.7085179995183826,0.6492821878640438,0.8154233402930531,-0.11940980022308702,-0.29270778271864295,0.954252004696503,0.8631927937056711,0.6683545124557201,0.8596457642358835,-0.33271858371601215,0.7630736800500563
GOOGL,0.8633811177519362,0.7418486054069149,0.2123627340404399,0.42185823499122377,0.8376025164323869,0.8923932010731725,0.8443013094765676,0.17764066048840024,0.7967084546076925,0.8555199001282817,1.0,0.750070645069279,-0.33925864326222416,0.663093963895752,0.47294956034498004,0.5028736513594979,0.2357123481980965,0.6743316468161361,0.818356055602347,0.7350779976388792,0.8425801689205652,0.689398763303083,0.7909999776654993,0.7967446324553565,0.83920245293805,0.7533376760177994,0.8186646681975125,0.15739964077318128,-0.04034024728623228,0.8359322388668841,0.783168115820158,0.871501761099802,0.7703381250661667,-0.03632844375171904,0.6795666103577811
GS,0.5009021080319008,0.2604351175206441,0.7227388588452447,0.8625765689279274,0.6277179209216501,0.729255605987926,0.46682747557173954,0.6519786474857048,0.9230639886537293,0.5363745476463735,0.750070645069279,1.0,0.10526342808390102,0.6260828148111215,0.8729590913917182,0.8057399522990747,0.5657708986205291,0.7285776465276493,0.8441724091223158,0.3610401329439253,0.43473838403392384,0.21310187112968035,0.31845972639097214,0.6239702286734595,0.8190527828025277,0.6848314217023528,0.5259134061291709,0.6924293570730866,0.521478991208617,0.47242582693445623,0.446938191187943,0.8329979185476303,0.3127960997603825,0.5438292798186501,0.5610633081574419
