"","AAPL","MSFT","GOOGL","AMZN","TSLA","JPM","BAC","V","PG","KO","WMT","PEP","CVX","XOM","SLB","BA","UPS","CAT","MMM","JNJ","PFE","MRNA","DIS","NFLX","T","NVDA","ORCL","INTC","LMT","GS","COST","BTC.USD","ETH.USD","LTC.USD","XRP.USD"
"AAPL",1,0.769601868817714,0.663172291447614,0.670034595292751,0.476585704811865,0.413804910795151,0.44892530117715,0.594779929228658,0.541870785703793,0.4610367828001,0.434726193991784,0.597699417803715,0.35378251554862,0.383745089019177,0.335720566136083,0.431498054203972,0.490941166088779,0.38955420349002,0.420339295730796,0.500038961803844,0.37176955999144,0.0594072317309686,0.449057612467711,0.513761798354946,0.436366940061567,0.724466990244769,0.539140389805859,0.52414929185164,0.470315171775169,0.514404218487764,0.587213294020446,0.344266298064092,0.343442395880855,0.317412127483602,0.185612256143697
"MSFT",0.769601868817714,1,0.8299508074684,0.712689880645926,0.541396069664301,0.449201088279725,0.471421681426462,0.726297882648142,0.605584288355205,0.508473027100001,0.496858898200783,0.619549224658027,0.409259313094712,0.418987622617516,0.424636670793307,0.448980908123247,0.449203507101578,0.413988391495427,0.462614234640476,0.591403662879259,0.453244074278244,0.101030643076071,0.548409967243564,0.5716271947132,0.496358159880364,0.753144791923284,0.622999955739877,0.611360371484248,0.539376292408147,0.539939024500941,0.675927833037582,0.373444404739671,0.368278756369349,0.334752370268988,0.245923641185176
"GOOGL",0.663172291447614,0.8299508074684,1,0.638061492818558,0.485105246243306,0.498542679133724,0.510032490607455,0.75431095724775,0.545456541750044,0.543169172386501,0.404899804622428,0.558633004726421,0.461305702329778,0.486680624025695,0.51818517176372,0.483510916390005,0.451557984646023,0.481797447364513,0.509262880978912,0.559638902754935,0.485039530413232,0.010287724071525,0.597579954405685,0.477149236466547,0.533523456289652,0.653789091114131,0.551231440557858,0.572202151032821,0.529987465858671,0.578669781566913,0.585158787538288,0.35247841672421,0.34185389994637,0.294460835549517,0.186524408003519
"AMZN",0.670034595292751,0.712689880645926,0.638061492818558,1,0.438732386537093,0.172939683132517,0.220960105176082,0.374155508673347,0.444858620506933,0.229066150607723,0.420843198320991,0.424320433338497,0.107836840322296,0.182152880754675,0.19639184631836,0.204425993215702,0.382984948026376,0.187271405767152,0.221683605100408,0.339272684887652,0.264940419688508,0.0472963511776281,0.327137234179175,0.641892835155384,0.268901377970875,0.653123500171077,0.49170729904059,0.445417243797015,0.304366274224657,0.293007769346818,0.568385866124733,0.297137333087247,0.281984208694685,0.263489096782959,0.144893953135118
"TSLA",0.476585704811865,0.541396069664301,0.485105246243306,0.438732386537093,1,0.304810274878756,0.302447197416162,0.46770679354477,0.20976995534304,0.290522283950298,0.166821907158096,0.298339551660306,0.363090195217208,0.292634438350269,0.345722764041851,0.338691270038706,0.179601555264699,0.201382589839892,0.218384572647349,0.220703734137559,0.19189660627868,0.0523669533733191,0.350601552293143,0.427774217907908,0.237014308067288,0.536476620498196,0.260904619851806,0.338507731944458,0.224318271424768,0.392408962023425,0.294732337174181,0.244344034637885,0.27689084657237,0.237668239520965,0.212273129997799
"JPM",0.413804910795151,0.449201088279725,0.498542679133724,0.172939683132517,0.304810274878756,1,0.936896695546852,0.696360769685985,0.366446551364524,0.69450819301065,0.153226117272635,0.489345985418047,0.758765835774345,0.728527029950981,0.723606359219851,0.695237389769185,0.400822467776329,0.721180893858494,0.607455512230281,0.449491711847089,0.475343752135526,-0.0557995207687368,0.679212501487063,0.0783095920399622,0.702516964271923,0.306273947605487,0.520980035926954,0.433777235041336,0.576117682845371,0.857260102291043,0.269915817336847,0.258757333417171,0.240838013646253,0.217993829707975,0.20225259230945
"BAC",0.44892530117715,0.471421681426462,0.510032490607455,0.220960105176082,0.302447197416162,0.936896695546852,1,0.696726168748178,0.428489121922129,0.673720259212282,0.20887797691179,0.54337295606752,0.712253732441272,0.757148951295642,0.719938912133264,0.648971724144789,0.440000266739409,0.751685631535232,0.685405159409836,0.481663472831842,0.473732673834221,-0.0501533435564288,0.693722576302751,0.0841928296127772,0.735991327931669,0.339126262671711,0.562548152769542,0.451445795275925,0.588111251910273,0.84549321660145,0.302863232618242,0.293235761326095,0.26800529967405,0.246086000128256,0.222468079531501
"V",0.594779929228658,0.726297882648142,0.75431095724775,0.374155508673347,0.46770679354477,0.696360769685985,0.696726168748178,1,0.526691014575952,0.677752980322866,0.318367350192098,0.576511389200003,0.6817397244146,0.668222925618876,0.66834665520343,0.622312433998774,0.441304223177648,0.620510815552374,0.675917696969052,0.62002547297673,0.527939255503823,-0.00740693122943985,0.726888466854142,0.252244008612183,0.638226961354532,0.581510965043905,0.539612520253664,0.542966443520968,0.643368417392096,0.702902990201901,0.509038801797707,0.351918517799741,0.357270441771092,0.301708744849975,0.248608395540934
"PG",0.541870785703793,0.605584288355205,0.545456541750044,0.444858620506933,0.20976995534304,0.366446551364524,0.428489121922129,0.526691014575952,1,0.61878532765034,0.66986944115525,0.77562463318352,0.269612476164691,0.364573415619523,0.29896360543011,0.303855701104809,0.560843806654748,0.465513943474047,0.549615306665418,0.761345112825983,0.587280822929319,0.179391140032387,0.403121590548458,0.326410217514146,0.635649526729517,0.464022808363793,0.62894984998163,0.445555391750277,0.685018029999033,0.418323809033028,0.705927322139252,0.311761420260285,0.305813728782915,0.281897403465165,0.219763660108921
"KO",0.4610367828001,0.508473027100001,0.543169172386501,0.229066150607723,0.290522283950298,0.69450819301065,0.673720259212282,0.677752980322866,0.61878532765034,1,0.390653557208851,0.7134903479822,0.617472276357501,0.630201810095757,0.568453896535107,0.595559150303951,0.421391790492389,0.671123126422771,0.643986237655856,0.682624567473353,0.607466499525061,0.132890546307511,0.627981811982444,0.133526050856798,0.756185008975494,0.370265812041323,0.527018695409332,0.492304190950525,0.663704960773172,0.669427106173165,0.445905870351071,0.272760334412659,0.256336664967247,0.240129040325958,0.151486688149617
